date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:35	4308/4308	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2013:32:07%20GMT	https://www.qureskincare.com/cdn/shop/files/apple-store-app.png?v=1622791732	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/apple-store-app73bf.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:35	4990/4990	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Oct%202023%2010:05:07%20GMT	https://www.qureskincare.com/cdn/shop/files/Google_Play_Store.png?v=1622791753	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Google_Play_Storeeb7c.png	(from https://qureskincaredns.com/live-homepage.html)
18:19:36	143/143	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Oct%202023%2012:30:00%20GMT	https://loox.io/widget/E1ZblPXTmc/loox.1616132048552.js?shop=qure-skincare.myshopify.com	E:/AWS/Qure/loox.io/widget/E1ZblPXTmc/loox.1616132048552d123.js	(from https://qureskincaredns.com/live-homepage.html)
18:19:37	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a86471f3391a99b018672238bfb11268%22	https://use.fontawesome.com/1ffda683c2.js	E:/AWS/Qure/use.fontawesome.com/1ffda683c2.js	(from https://qureskincaredns.com/live-homepage.html)
18:19:37	250523/250523	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Oct%202023%2018:15:20%20GMT	https://www.qureskincare.com/cdn/shop/t/106/assets/vendors.js?v=90183248208968440331691756291	E:/AWS/Qure/www.qureskincare.com/cdn/shop/t/106/assets/vendorsaab1.js	(from https://qureskincaredns.com/live-homepage.html)
18:19:37	112878/112878	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Oct%202023%2019:11:01%20GMT	https://www.qureskincare.com/cdn/shop/t/106/assets/theme.js?v=163802434018755567911698692974	E:/AWS/Qure/www.qureskincare.com/cdn/shop/t/106/assets/theme1477.js	(from https://qureskincaredns.com/live-homepage.html)
18:19:38	4178/4178	---M--	200	added ('OK')	image/gif	date:Mon,%2030%20Oct%202023%2019:28:30%20GMT	https://www.qureskincare.com/cdn/shop/t/106/assets/ajax-loader.gif	E:/AWS/Qure/www.qureskincare.com/cdn/shop/t/106/assets/ajax-loader.gif	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:38	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2012:49:38%20GMT	https://www.qureskincare.com/cdn/shop/t/106/assets/image/Play.png	E:/AWS/Qure/www.qureskincare.com/cdn/shop/t/106/assets/image/Play.71.delayed	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:39	466/466	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:38%20GMT	https://www.qureskincare.com/cdn/shop/files/play-2.png?v=1602063545	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/play-2715d.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:39	238/238	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:39%20GMT	https://www.qureskincare.com/cdn/shop/files/pause.png?v=1602063545	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/pause715d.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
